m_vote_title_id,vote_title_name,sort_number
542,When Destiny Comes Knocking,1
543,Rose in the Embers,2
544,Era of Samurai: Code of Love,3
545,After School Affairs,4
546,Love Letter from Thief X,5
547,Kissed by the Baddest Bidder,6
548,Enchanted in the Moonlight,7
549,Our Two Bedroom Story,8
550,My Last First Kiss,9
551,Butler Until Midnight,10
552,My Forged Wedding,11
553,Scandal in the Spotlight,12
554,Seduced in the Sleepless City,13
555,In Your Arms Tonight,14
556,Metro PD Close to You,15
557,Be My Princess,16
558,My Sweet Bodyguard,17
559,"Finally, in Love Again",18
560,Our Private Homeroom,19
561,A Knight's Devotion,20
562,Office Secrets,21
563,Serendipity Next Door,22
564,Kiss of Revenge,23
565,Irresistible Mistakes,24
566,Be My Princess 2,25
567,Kiss Me on Clover Hill,26
568,Kings of Paradise,27
569,Dreamy Days in West Tokyo,28
570,Class Trip Crush,29
571,Sakura Amidst Chaos,30
572,True Love Sweet Lies,31
573,First Love Diaries,32
574,10 Days with My Devil,33
575,My Wedding and 7 Rings,34
576,Dangerous Seduction,35
577,Bad Boys Do It Better,36
578,Pirates in Love: Captain's Cut,37
579,Star-Crossed Myth,38
580,Her Love in the Force,39
581,Celebrity Darling,40
582,In Your Arms Tonight 2,41
583,Love Brings You Home,42
584,Diary of a Step-Sister,43
585,A World With(out) You,44
586,Masquerade Kiss,45
587,Romance MD: Always On Call,46
588,Destind: Mr. Almost Right,47
589,Wanted: Romance Renegades,48
590,Love's Hella Punk,49
591,Codename: Cupid,50
592,Professional Boyfriend,51
593,My Lady Juliet,52
594,"Forget Me Not, My Love",53
595,Exclusively Yours: An Office Affair,54
596,"Oops, I Said Yes?!",55
597,A Date with Yesterday,56
598,Tokyo Love Hustle,57
599,Campus Romance 101,58
600,PLUST Loving U So True,59
601,Can We Start Over?,60
602,"Wait, I'm the Bride?!",61
603,Kiss the Dawn Away,62
